Rank,Title,Price_Raw,Price_Cleaned,Link
1,"HP Chromebook Laptop Student Business (2023 Model),14‘ HD Display,Quad-Core Intel Celeron N4120 (Upto 2.6GHz),4GB RAM,64GB eMMC,HD Webcam,WiFi 5,UHD Graphics,Chrome OS +HubxcelAccessory,Modern Gray","47,110.",47110.0,https://amazon.com/HP-Chromebook-2023-14-HubxcelAccessory/dp/B0C2FJB3CT/ref=sr_1_65?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.qMu-q2O5a8NLehysl4S7xa44zgVBgVqLc4uCHY-fUCfmusmox6sxhOZKP9sTI4F6jHA9nFyMQgjxybBMtF62eOm4il4U2wlBfik20U1L2q91lWovAhcW5-IffRMQDcvRZtdsEs2Ory5EmHLKZUI37xgHgSh0rQqwPoRJtPuUrTmV3i5yJ0zIBQkjSZVi5JsABR8ykTh1fqoU6MYmja5QN8VS9Wub11Jw5eTIuPIh5do.kGzu7V3YQm2oagHczpZESlKOV4-7J5e6jzABdPpZGfc&dib_tag=se&keywords=laptop&qid=1776909402&sprefix=laptop%2Caps%2C428&sr=8-65
2,"Dell Latitude 5400 Laptop | 14"""" 1920x1080 FHD | Core i5-8365U - 256GB SSD Hard Drive - 8GB RAM | 4 cores @ 4.1 GHz Win 11 Pro (Renewed), Black","47,388.",47388.0,https://amazon.com/Dell-Latitude-5400-Laptop-1920x1080/dp/B0D58RNGKY/ref=sr_1_14?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.EER0xGcz3dCYYBUo8USCohlTy9qMQzv-ggJJoQg6G271PwZR5z3gpF9tF5LZQ1Xm3hPNgZxHH8HjjAYr3IfEFID5Mm0NpLbfF_7Lm_Hxw9Ny9bFluInj51_hV8hR1ZSOAiiLnsyALC-GaTt05cqnjw6nDRk21_ZMCsSg5aCyMMGSeb4BA8kyDOOz1fxDs3XxqaRilYX_gvJLjx3Fm7LIwIo3fmvJWLLBH5DufxUadhw.pVs0XORh0n8lNsy03GsLR4qc1ka0lB_erVXABhW3Fwk&dib_tag=se&keywords=laptop&qid=1776909388&sprefix=laptop%2Caps%2C428&sr=8-14
3,"HP 2023 Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray","49,619.",49619.0,https://amazon.com/HP-Chromebook-Processor-Graphics-Bluetooth/dp/B0C7MR5RDH/ref=sr_1_67?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.xO4nnyUOzhaV83vT67NcrwGs8L-YhGI6rjGEvoHip8pJGNoGijtpOqEHHdqGu2HS2SkZdGhUgLdjXgS79X-11FLlcA2kelpGtNtkaqczMbw4Ey5w3rmJfB8pjaZ4WjpTyokUOtSpLOy94wVCndkjo0pTfhzvor78AYx9s51ZPWxW1s7mtHrklqZ840BgTrh7EJ5SwoqGbbjh4iBz__KRre5BO_Icb2EjaFFwFWMSMOE.pPMS1Q9DFu2GRPSCjGKBUl1UnGDYNsiMDeZbMuwu5Xc&dib_tag=se&keywords=laptop&qid=1776909406&sprefix=laptop%2Caps%2C428&sr=8-67
4,"Lenovo IdeaPad Slim 3 Chromebook Laptop - 2024 - Lightweight Laptop - Waves MaxxAudio® Speakers - 14"" HD Display -720p Camera - 4GB Memory - 64GB Storage - MediaTek Kompanio 520 - Abyss Blue","49,900.",49900.0,https://amazon.com/sspa/click?ie=UTF8&spc=MToxNTgxMjcxNjI4MjcxMjMxOjE3NzY5MDkzODg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMTIzMTM2MDU0NTQwMjo6Mjo6&url=%2FLenovo-IdeaPad-Slim-Chromebook-Lightweight%2Fdp%2FB0D5HZVQDL%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cdeaf89b-0b83-4151-b82a-07a08dc40e89%253Aamzn1.sym.cdeaf89b-0b83-4151-b82a-07a08dc40e89%26crid%3D2NFNV25TJ6CRA%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0D5HZVQDL%26pd_rd_r%3D093bcc13-d659-4a2f-996e-799ccb37585d%26pd_rd_w%3DZaRBc%26pd_rd_wg%3DOriMW%26pf_rd_p%3Dcdeaf89b-0b83-4151-b82a-07a08dc40e89%26pf_rd_r%3D3F6B19D3H8JTNKB3HDK0%26qid%3D1776909388%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C428%26sr%3D1-3-6e60e730-e094-43e9-99e8-1a4854cd27ff-spons%26aref%3Dlz1OQoynzP%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=lz1OQoynzP
5,"Lenovo IdeaPad Slim 3 Chromebook Laptop - 2024 - Lightweight Laptop - Waves MaxxAudio® Speakers - 14"" HD Display -720p Camera - 4GB Memory - 64GB Storage - MediaTek Kompanio 520 - Abyss Blue","49,900.",49900.0,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MDI5Mjg3ODcxMDUyNzg4OjE3NzY5MDkzOTg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMTIzMTM2MDU0NTQwMjo6Mzo6&url=%2FLenovo-IdeaPad-Slim-Chromebook-Lightweight%2Fdp%2FB0D5HZVQDL%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.8d60f87f-f29a-43a9-bd25-0408c2d723bd%253Aamzn1.sym.8d60f87f-f29a-43a9-bd25-0408c2d723bd%26crid%3D2NFNV25TJ6CRA%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0D5HZVQDL%26pd_rd_r%3D68d64a9b-d09a-4e63-9d36-cd8a198d5eeb%26pd_rd_w%3DB2Ehb%26pd_rd_wg%3DGKD7a%26pf_rd_p%3D8d60f87f-f29a-43a9-bd25-0408c2d723bd%26pf_rd_r%3DAD3ATTCZBQ780H2D0ZR4%26qid%3D1776909397%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptop%252Caps%252C428%26sr%3D1-36-361f5450-ace5-4510-8823-612adedb9cc5-spons%26aref%3Dlz1OQoynzP%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=lz1OQoynzP
6,"HP Latest Stream 14"" HD Laptop, Intel Celeron Processor, 4GB Memory, 64GB eMMC Storage, Fast Charge, HDMI, Up to 11 Hours Long Battery Life, Office 365 1-Year, Win 11 S, Microfiber Bundle, White","52,682.",52682.0,https://amazon.com/HP-Laptop-Celeron-Processor-Microfiber/dp/B0C5S8626M/ref=sr_1_77?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.xO4nnyUOzhaV83vT67NcrwGs8L-YhGI6rjGEvoHip8pJGNoGijtpOqEHHdqGu2HS2SkZdGhUgLdjXgS79X-11FLlcA2kelpGtNtkaqczMbw4Ey5w3rmJfB8pjaZ4WjpTyokUOtSpLOy94wVCndkjo0pTfhzvor78AYx9s51ZPWxW1s7mtHrklqZ840BgTrh7EJ5SwoqGbbjh4iBz__KRre5BO_Icb2EjaFFwFWMSMOE.pPMS1Q9DFu2GRPSCjGKBUl1UnGDYNsiMDeZbMuwu5Xc&dib_tag=se&keywords=laptop&qid=1776909406&sprefix=laptop%2Caps%2C428&sr=8-77
7,"Lenovo IdeaPad 3 15.6"" FHD Chromebook Laptop, Intel Celeron N4500, Intel UHD Graphics, 4GB RAM, 64GB SSD, USB-A&C, HDMI, WiFi, Chrome OS","52,964.",52964.0,https://amazon.com/Lenovo-IdeaPad-Chromebook-Celeron-Graphics/dp/B0D7SK7H8N/ref=sr_1_75?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.xO4nnyUOzhaV83vT67NcrwGs8L-YhGI6rjGEvoHip8pJGNoGijtpOqEHHdqGu2HS2SkZdGhUgLdjXgS79X-11FLlcA2kelpGtNtkaqczMbw4Ey5w3rmJfB8pjaZ4WjpTyokUOtSpLOy94wVCndkjo0pTfhzvor78AYx9s51ZPWxW1s7mtHrklqZ840BgTrh7EJ5SwoqGbbjh4iBz__KRre5BO_Icb2EjaFFwFWMSMOE.pPMS1Q9DFu2GRPSCjGKBUl1UnGDYNsiMDeZbMuwu5Xc&dib_tag=se&keywords=laptop&qid=1776909406&sprefix=laptop%2Caps%2C428&sr=8-75
8,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)","54,347.",54347.0,https://amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_3?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.EER0xGcz3dCYYBUo8USCohlTy9qMQzv-ggJJoQg6G271PwZR5z3gpF9tF5LZQ1Xm3hPNgZxHH8HjjAYr3IfEFID5Mm0NpLbfF_7Lm_Hxw9Ny9bFluInj51_hV8hR1ZSOAiiLnsyALC-GaTt05cqnjw6nDRk21_ZMCsSg5aCyMMGSeb4BA8kyDOOz1fxDs3XxqaRilYX_gvJLjx3Fm7LIwIo3fmvJWLLBH5DufxUadhw.pVs0XORh0n8lNsy03GsLR4qc1ka0lB_erVXABhW3Fwk&dib_tag=se&keywords=laptop&qid=1776909388&sprefix=laptop%2Caps%2C428&sr=8-3
9,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)","54,358.",54358.0,https://amazon.com/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/ref=sr_1_27?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.aIXYZAmIZJMIRDpPUtKmqqKIMlLF3vwupzc7W4kfqe8Y4Exc8VFq-3XUY8TQn1JNS3FUAibKa32I7Lz7jGBETWyTRLJDdcoPQXEOs-lHoM9fuMi4EiojNiMIogNVsjuu4MAB-1OVo9aXWJjaj2ye63upzgziPAmnwcZlzM2S9yu7Hxuhcdcnhj10JD5i6Di5rmAJe_iTenrGktZ3mqKT883hPmtXHoyqKBbNL4UyLTA.tRFkCaFlglIuznw1fnGBGSMUDizxRwmauEeskIvdNEE&dib_tag=se&keywords=laptop&qid=1776909393&sprefix=laptop%2Caps%2C428&sr=8-27
10,"Samsung 14"" Galaxy Chromebook Go Laptop PC Computer, Intel Celeron N4500 Processor, 4GB RAM, 64GB Storage, ChromeOS, XE340XDA-KA2US, Student Laptop, Silver","55,476.",55476.0,https://amazon.com/SAMSUNG-Chromebook-Computer-Lightweight-12-Hour-Battery/dp/B09S3HNMHF/ref=sr_1_109?crid=2NFNV25TJ6CRA&dib=eyJ2IjoiMSJ9.fz8D7KjdBBOhWy6vWof8GoCpl5AMYIXzvCxN-ESvDT0L982-TDQJFlybaiQJPjK94uL3jylm3keYiJssBrTXJyLINFepDDoQLnOv74LAwil5uoKu6NZjS_xjg_8BN5gAuQWoJ_myRbWIyvRbU_m4PQau8PkXmp4PNk3sL4mmnxa1BSGAbuCfZLNCieiysRPO926YZ4F7onEW8YIT7kNXCaq8LHj4uZ2PWzHQZ6kWAos.-Bv1Ka_p3e7tJhqTFmROqDNcoUgnekRejfUIcspRs2o&dib_tag=se&keywords=laptop&qid=1776909416&sprefix=laptop%2Caps%2C428&sr=8-109
